"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.754310095E1,6.046300316E1,2.693136356E1,1.034128172E1,1.562725539E0,2.345132152E2,9.836144112E0,1.296502105E1
8.854311812E1,6.046299930E1,2.693133940E1,9.800951605E0,1.557848873E0,2.374776692E2,9.675762964E0,1.259820087E1
8.954313445E1,6.046299186E1,2.693131676E1,9.641831375E0,1.554202922E0,2.389423821E2,9.713415211E0,1.242228222E1
9.054315007E1,6.046298021E1,2.693130545E1,9.268669707E0,1.548766903E0,2.265833680E2,9.691296620E0,1.239483236E1
9.154316437E1,6.046297322E1,2.693128547E1,9.083024971E0,1.556687096E0,2.251324460E2,9.764731316E0,1.259115254E1
9.254317927E1,6.046296594E1,2.693126481E1,9.337271083E0,1.554943174E0,2.238219712E2,9.742278880E0,1.267700751E1
9.354319179E1,6.046296199E1,2.693124062E1,8.720687019E0,1.563069390E0,2.281146162E2,9.742732078E0,1.291245533E1
9.454320478E1,6.046295157E1,2.693122800E1,8.728809934E0,1.524714828E0,2.232102074E2,9.743609355E0,1.285835840E1
9.554321611E1,6.046294207E1,2.693121375E1,8.175414180E0,1.543404158E0,2.237871662E2,9.790092952E0,1.284555722E1
9.654322767E1,6.046292902E1,2.693120642E1,7.832870119E0,1.520366237E0,2.212178813E2,9.720733830E0,1.260518576E1
9.754323924E1,6.046291855E1,2.693119491E1,7.251251818E0,1.490938269E0,2.240847847E2,9.544436168E0,1.241920192E1
9.854324996E1,6.046290492E1,2.693118263E1,7.038049122E0,1.536908411E0,2.207464426E2,9.532682798E0,1.237478683E1
9.954325962E1,6.046289251E1,2.693117123E1,6.783813451E0,1.533967974E0,2.225023041E2,9.379595261E0,1.233906232E1
1.005432690E2,6.046288440E1,2.693115202E1,6.317237382E0,1.469864911E0,2.267837158E2,9.255244902E0,1.242520484E1
1.015432788E2,6.046287893E1,2.693112688E1,6.918580418E0,1.558986170E0,2.376255594E2,9.191528465E0,1.256521145E1
1.025432876E2,6.046287255E1,2.693110500E1,7.186625420E0,1.546909628E0,2.444729816E2,9.062286625E0,1.243095560E1
1.035432962E2,6.046286668E1,2.693108575E1,6.793391505E0,1.571930718E0,2.453095024E2,8.928145173E0,1.265790583E1
1.045433046E2,6.046285261E1,2.693107264E1,6.839188695E0,1.583133361E0,2.276437914E2,8.827234331E0,1.250286697E1
1.055433120E2,6.046283884E1,2.693106312E1,7.017419464E0,1.593897267E0,2.119197235E2,8.671131473E0,1.238402279E1
1.065433192E2,6.046282851E1,2.693104731E1,6.587493181E0,1.587105467E0,2.123261156E2,8.620177561E0,1.228505763E1
1.075433265E2,6.046281885E1,2.693103023E1,6.888682097E0,1.573764647E0,2.142541261E2,8.467004519E0,1.196744276E1
1.085433328E2,6.046280819E1,2.693101686E1,6.630577403E0,1.549390836E0,2.127801921E2,8.408484733E0,1.189246491E1
1.095433401E2,6.046279617E1,2.693100640E1,7.060786099E0,1.571134308E0,2.069802219E2,8.370242507E0,1.171293432E1
1.105433470E2,6.046278750E1,2.693098667E1,7.379751576E0,1.573380436E0,2.119381089E2,8.243399816E0,1.179976148E1
1.115433530E2,6.046277661E1,2.693096861E1,7.058210403E0,1.609888018E0,2.170054435E2,8.247907264E0,1.182728061E1
1.125433587E2,6.046276496E1,2.693095514E1,6.288233573E0,1.627426976E0,2.141920027E2,8.247397717E0,1.190342263E1
1.135433648E2,6.046275309E1,2.693094580E1,5.748621646E0,1.582223521E0,2.079022521E2,8.163347407E0,1.177524533E1
1.145433707E2,6.046273942E1,2.693094705E1,4.959364050E0,1.567871518E0,1.954253191E2,8.238103850E0,1.180018245E1
1.155433761E2,6.046272572E1,2.693095512E1,4.603222923E0,1.566757730E0,1.852596149E2,8.235583284E0,1.161540098E1
1.165433822E2,6.046271482E1,2.693097270E1,4.099761325E0,1.583496367E0,1.693955841E2,8.164524312E0,1.135011260E1
1.175433869E2,6.046270536E1,2.693098242E1,3.623118251E0,1.591774258E0,1.645606775E2,8.108733807E0,1.127653273E1
1.185433916E2,6.046269880E1,2.693100053E1,3.181723805E0,1.391829961E0,1.566256337E2,8.092907621E0,1.085276444E1
1.195433974E2,6.046269488E1,2.693101138E1,3.179022115E0,1.096393973E0,1.517219926E2,7.984797632E0,9.973013654E0
1.205434026E2,6.046268839E1,2.693102293E1,3.201758473E0,1.119066413E0,1.491633919E2,7.820880866E0,9.753878204E0
1.215434071E2,6.046268067E1,2.693103486E1,2.963405396E0,1.161672798E0,1.501183232E2,7.761214854E0,1.027520070E1
1.225434127E2,6.046267201E1,2.693104721E1,3.189320146E0,1.209924872E0,1.483612738E2,7.726224142E0,9.513834450E0
1.235434165E2,6.046266463E1,2.693105649E1,3.132887119E0,1.147974858E0,1.496497085E2,7.723950638E0,9.084994143E0
1.245434210E2,6.046265262E1,2.693107210E1,3.108849970E0,1.391498944E0,1.501009955E2,7.794296997E0,8.902523397E0
1.255434259E2,6.046264531E1,2.693108579E1,2.666901018E0,1.566672271E0,1.478248711E2,7.843174070E0,9.420527379E0
1.265434297E2,6.046263947E1,2.693110430E1,2.359262304E0,1.569218132E0,1.419143893E2,7.770391223E0,9.482922862E0
1.275434341E2,6.046263349E1,2.693113101E1,2.551909694E0,1.581835748E0,1.333824048E2,7.777477045E0,9.490581465E0
1.285434386E2,6.046262795E1,2.693115499E1,3.129002966E0,1.567456671E0,1.296098314E2,7.834377256E0,9.464275435E0
1.295434420E2,6.046262386E1,2.693118009E1,3.508670692E0,1.539274556E0,1.228655169E2,7.832206509E0,9.424471958E0
1.305434464E2,6.046262112E1,2.693120492E1,3.589328446E0,1.532241386E0,1.165975423E2,7.838087484E0,9.392035673E0
1.315434500E2,6.046261708E1,2.693122786E1,3.248520565E0,1.550880795E0,1.155906978E2,7.825340766E0,9.442529601E0
1.325446599E2,6.046261839E1,2.693125821E1,3.337126553E0,1.588302558E0,1.071760743E2,7.909063018E0,9.456955909E0
1.335445755E2,6.046261239E1,2.693127972E1,3.079072031E0,1.556490027E0,1.153875786E2,7.911776778E0,9.346582333E0
1.345444633E2,6.046261032E1,2.693130165E1,2.938092132E0,1.527657479E0,1.166002861E2,7.910250074E0,9.448504766E0
1.355443621E2,6.046260460E1,2.693132129E1,2.552031198E0,1.546510212E0,1.224063422E2,7.924699147E0,9.640597501E0
1.365442550E2,6.046259775E1,2.693133617E1,1.520049687E0,1.432894816E0,1.301301435E2,7.760077084E0,9.053598995E0
1.375441337E2,6.046259760E1,2.693135668E1,7.673076913E-1,1.373354246E0,1.241754589E2,7.677640147E0,8.819581510E0
1.385440305E2,6.046259620E1,2.693138553E1,1.209511733E0,1.547946344E0,1.179832422E2,7.739527190E0,8.948190993E0
1.395439328E2,6.046259428E1,2.693140595E1,1.506974371E0,1.524113787E0,1.154854015E2,7.731383064E0,9.019117365E0
1.405438201E2,6.046258473E1,2.693141668E1,1.987449254E0,1.526157962E0,1.317480332E2,7.712771105E0,8.884625829E0
1.415437306E2,6.046257879E1,2.693142907E1,1.334342062E0,1.401029420E0,1.392230100E2,7.682049062E0,8.679618290E0
1.425436443E2,6.046257435E1,2.693143567E1,6.820289763E-1,1.076186877E0,1.409599189E2,7.608940473E0,8.616419365E0
1.435435443E2,6.046257203E1,2.693145323E1,6.843617456E-1,1.035145482E0,1.292637955E2,7.590685053E0,8.313718761E0
1.445434644E2,6.046256309E1,2.693146845E1,9.156952361E-1,1.165230049E0,1.373488108E2,7.543542884E0,8.124354878E0
1.455433921E2,6.046256416E1,2.693149261E1,8.030184899E-1,1.144026779E0,1.209491138E2,7.566791849E0,7.831563391E0
1.465433046E2,6.046256517E1,2.693151933E1,1.110700474E0,1.260529306E0,1.101700888E2,7.598099964E0,7.850898491E0
1.475432221E2,6.046256525E1,2.693154749E1,1.079326428E0,1.376473171E0,1.057390059E2,7.618603749E0,7.362499250E0
1.485431441E2,6.046255983E1,2.693157172E1,9.068874670E-1,1.439579403E0,1.104535260E2,7.599158151E0,7.347812979E0
1.495430716E2,6.046256373E1,2.693159644E1,1.039742292E0,1.311890039E0,1.024975647E2,7.607454706E0,7.408866902E0
1.505430036E2,6.046256294E1,2.693161699E1,1.221989343E0,1.130337451E0,1.013858564E2,7.581116976E0,7.188473895E0
1.515429385E2,6.046256189E1,2.693164393E1,1.134962636E0,1.230429792E0,1.008027177E2,7.588169011E0,7.164935696E0
1.525428779E2,6.046256446E1,2.693165661E1,5.646037115E-1,8.705569039E-1,8.766161557E1,7.582716251E0,7.199292524E0
1.535428201E2,6.046257011E1,2.693167803E1,5.368569009E-1,8.348941236E-1,8.000095838E1,7.642232765E0,7.400160155E0
1.545427659E2,6.046257239E1,2.693171344E1,7.857588977E-1,1.208144497E0,8.592626132E1,7.696638861E0,7.603646709E0
1.555427146E2,6.046257126E1,2.693173374E1,5.907496093E-1,1.112985571E0,1.026253594E2,7.699475906E0,7.791272465E0
1.565426654E2,6.046257005E1,2.693174034E1,6.829971466E-1,5.726719645E-1,1.222703933E2,7.688744703E0,7.916326713E0
1.575426203E2,6.046258458E1,2.693175287E1,1.250163419E-1,4.597897823E-1,4.043385776E1,7.684618112E0,7.998428876E0
1.585425770E2,6.046260154E1,2.693176898E1,6.830417458E-2,1.453217267E0,2.345953456E1,7.694533640E0,7.784921144E0
1.595425355E2,6.046260130E1,2.693177932E1,4.520570301E-2,1.481618309E0,2.848157681E1,7.621247215E0,7.960382733E0
1.605424974E2,6.046260354E1,2.693177547E1,-5.329821073E-2,8.086596307E-1,1.779571637E1,7.650805155E0,7.861359190E0
1.615424613E2,6.046260028E1,2.693176542E1,1.619751239E-1,1.985804728E-1,5.283939776E0,7.875880134E0,7.037885971E0
1.625424260E2,6.046260300E1,2.693176001E1,6.800544951E-1,1.868465251E-1,5.283933122E0,8.014437032E0,6.563563865E0
1.635423936E2,6.046260329E1,2.693175549E1,9.691283694E-1,3.734951294E-2,5.283927682E0,8.054830687E0,6.986587863E0
1.645423619E2,6.046260627E1,2.693175714E1,1.216207438E0,1.669301605E-1,5.283929480E0,8.083767669E0,7.347327901E0
1.655423322E2,6.046259971E1,2.693171540E1,1.591782670E0,1.348202010E0,2.700345120E2,8.122372030E0,7.399759057E0
1.665423038E2,6.046256908E1,2.693175373E1,2.556521395E0,1.115584602E0,1.946922128E2,8.113656698E0,7.623724901E0
1.675422767E2,6.046255704E1,2.693179777E1,2.931045101E0,1.028538122E0,1.535264944E2,8.088317079E0,7.807049287E0
1.685422518E2,6.046255960E1,2.693183377E1,2.923979976E0,1.148807119E0,1.215810967E2,8.133583086E0,7.989569521E0
1.695422277E2,6.046256196E1,2.693186975E1,3.113167485E0,1.445751441E0,1.036584880E2,8.191301915E0,8.189172706E0
1.705422043E2,6.046256245E1,2.693191203E1,3.640412082E0,1.870209371E0,9.812260403E1,8.153021337E0,8.277004356E0
